name,link,year_of_birth,year_of_death,date_of_death,description
Allyn Ann McLerie,/wiki/Allyn_Ann_McLerie,1926,2018,May 21,"Canadian-American actress, singer, and dancer"
Clint Walker,/wiki/Clint_Walker,1927,2018,May 21,American actor
Philip Roth,/wiki/Philip_Roth,1933,2018,May 22,American writer
Luis Posada Carriles,/wiki/Luis_Posada_Carriles,1928,2018,May 23,Cuban terrorist
Gudrun Burwitz,/wiki/Gudrun_Burwitz,1929,2018,May 24,German Neo-Nazi militant
Jerry Maren,/wiki/Jerry_Maren,1920,2018,May 24,American actor
TotalBiscuit,/wiki/TotalBiscuit,1984,2018,May 24,British gaming commentator and critic
Bill Mallory,/wiki/Bill_Mallory,1935,2018,May 25,American football player and coach
Naser Malek Motiei,/wiki/Naser_Malek_Motiei,1930,2018,May 25,Iranian actor
Alan Bean,/wiki/Alan_Bean,1932,2018,May 26,American astronaut
Ted Dabney,/wiki/Ted_Dabney,1937,2018,May 26,American engineer
Roger Piantoni,/wiki/Roger_Piantoni,1931,2018,May 26,French footballer
Gardner Dozois,/wiki/Gardner_Dozois,1947,2018,May 27,American science fiction writer
Prime Minister of Egypt,/wiki/Prime_Minister_of_Egypt,1935,2018,Aly Lotfy Mahmoud,44th Prime Minister of Egypt
Donald H. Peterson,/wiki/Donald_H._Peterson,1933,2018,May 27,American astronaut
Paulette Coquatrix,/wiki/Paulette_Coquatrix,1916,2018,May 28,French costume designer
Serge Dassault,/wiki/Serge_Dassault,1925,2018,May 28,French businessman and politician
Cornelia Frances,/wiki/Cornelia_Frances,1941,2018,May 28,English-Australian actress
María Dolores Pradera,/wiki/Mar%C3%ADa_Dolores_Pradera,1924,2018,May 28,Spanish singer and actress
Dick Quax,/wiki/Dick_Quax,1948,2018,May 28,Dutch-New Zealand Olympic athlete
Jens Christian Skou,/wiki/Jens_Christian_Skou,1918,2018,May 28,Danish medical doctor and Nobel Prize laureate
Prime Minister of Sweden,/wiki/Prime_Minister_of_Sweden,1931,2018,Ola Ullsten,28th Prime Minister of Sweden
Eddy Clearwater,/wiki/Eddy_Clearwater,1935,2018,June 1,American musician and singer
John Julius Norwich,/wiki/John_Julius_Norwich,1929,2018,June 1,English historian and writer
Sinan Sakić,/wiki/Sinan_Saki%C4%87,1956,2018,June 1,Serbian singer
Nobel Prize,/wiki/Nobel_Prize,1918,2018,Paul D. Boyer,American biochemist and Nobel Prize Laureate
Irenäus Eibl-Eibesfeldt,/wiki/Iren%C3%A4us_Eibl-Eibesfeldt,1928,2018,June 2,Austrian ethologist
Emil Wolf,/wiki/Emil_Wolf,1922,2018,June 2,Czech-American physicist
Frank Carlucci,/wiki/Frank_Carlucci,1930,2018,June 3,American politician
Miguel Obando y Bravo,/wiki/Miguel_Obando_y_Bravo,1926,2018,June 3,Nicaraguan cardinal
Kyra Petrovskaya Wayne,/wiki/Kyra_Petrovskaya_Wayne,1918,2018,June 3,Russian-born American author
Dwight Clark,/wiki/Dwight_Clark,1957,2018,June 4,American football player
Georg von Tiesenhausen,/wiki/Georg_von_Tiesenhausen,1914,2018,June 4,German-American rocket scientist
Kate Spade,/wiki/Kate_Spade,1962,2018,June 5,American fashion designer
Harry Walker,/wiki/Harry_Walker_(rugby_union),1915,2018,June 5,English rugby union player
George N. Leighton,/wiki/George_N._Leighton,1912,2018,June 6,American judge
Mateja Matevski,/wiki/Mateja_Matevski,1929,2018,June 6,Macedonian poet and writer
Kira Muratova,/wiki/Kira_Muratova,1934,2018,June 6,"Ukrainian director, screenwriter, and actress"
Spouse of the Prime Minister of the United Kingdom,/wiki/Spouse_of_the_Prime_Minister_of_the_United_Kingdom,1916,2018,"Mary Wilson, Baroness Wilson of Rievaulx","Baroness Wilson of Rievaulx, Spouse of the Prime Minister of the United Kingdom"
David Douglas Duncan,/wiki/David_Douglas_Duncan,1916,2018,June 7,American photojournalist
Arie den Hartog,/wiki/Arie_den_Hartog,1941,2018,June 7,Dutch road bicycle racer
Per Ahlmark,/wiki/Per_Ahlmark,1939,2018,June 8,Swedish politician and writer
Anthony Bourdain,/wiki/Anthony_Bourdain,1956,2018,June 8,"American chef, writer, and television personality"
Maria Bueno,/wiki/Maria_Bueno,1939,2018,June 8,Brazilian tennis player
Eunice Gayson,/wiki/Eunice_Gayson,1928,2018,June 8,English actress
Liu Yichang,/wiki/Liu_Yichang,1918,2018,June 8,Hong Kong writer and novelist
Reinhard Hardegen,/wiki/Reinhard_Hardegen,1913,2018,June 9,German U-boat commander
Fadil Vokrri,/wiki/Fadil_Vokrri,1960,2018,June 9,Kosovo-Albanian footballer
Neal E. Boyd,/wiki/Neal_E._Boyd,1975,2018,June 10,American pop opera singer
Stan Anderson,/wiki/Stan_Anderson,1933,2018,June 10,English footballer and manager
Dorothy Cotton,/wiki/Dorothy_Cotton,1930,2018,June 10,American civil rights activist
Tom McEwen,/wiki/Tom_McEwen_(drag_racer),1937,2018,June 10,American drag racer
Oscar Furlong,/wiki/Oscar_Furlong,1927,2018,June 11,Argentine basketball player
Roman Kłosowski,/wiki/Roman_K%C5%82osowski,1929,2018,June 11,Polish actor
Jon Hiseman,/wiki/Jon_Hiseman,1944,2018,June 12,English drummer
Anne Donovan,/wiki/Anne_Donovan,1961,2018,June 13,American basketball player
D. J. Fontana,/wiki/D._J._Fontana,1931,2018,June 13,American musician
Charles Vinci,/wiki/Charles_Vinci,1933,2018,June 13,American Olympic weightlifter
Tehrik-i-Taliban Pakistan,/wiki/Tehrik-i-Taliban_Pakistan,1974,2018,Fazlullah,"Pakistani terrorist, leader of Tehrik-i-Taliban Pakistan"
Stanislav Govorukhin,/wiki/Stanislav_Govorukhin,1936,2018,June 14,"Russian film director, screenwriter, and politician"
"Matt ""Guitar"" Murphy",/wiki/Matt_%22Guitar%22_Murphy,1929,2018,June 15,American blues guitarist
Leslie Grantham,/wiki/Leslie_Grantham,1947,2018,June 15,British actor
Gennady Rozhdestvensky,/wiki/Gennady_Rozhdestvensky,1931,2018,June 16,Russian conductor
Troy Hurtubise,/wiki/Troy_Hurtubise,1963,2018,June 17,Canadian inventor and conservationist
Walter Bahr,/wiki/Walter_Bahr,1927,2018,June 18,American soccer player
Big Van Vader,/wiki/Big_Van_Vader,1955,2018,June 18,American professional wrestler and football player
XXXTentacion,/wiki/XXXTentacion,1998,2018,June 18,American singer and rapper
Hubert Green,/wiki/Hubert_Green,1946,2018,June 19,American golfer
Stanley Cavell,/wiki/Stanley_Cavell,1926,2018,June 19,American philosopher
Ivan Drach,/wiki/Ivan_Drach,1936,2018,June 19,Ukrainian poet and political activist
Margarethe II of Denmark,/wiki/Margarethe_II_of_Denmark,1935,2018,Princess Elisabeth of Denmark,Danish diplomat and cousin of Margarethe II of Denmark
Sergio Gonella,/wiki/Sergio_Gonella,1933,2018,June 19,Italian businessman and football referee
Koko,/wiki/Koko_(gorilla),1971,2018,June 19,American-bred Western lowland gorilla
Dante Caputo,/wiki/Dante_Caputo,1943,2018,June 20,Argentine diplomat
Peter Thomson,/wiki/Peter_Thomson_(golfer),1929,2018,June 20,Australian golfer
Charles Krauthammer,/wiki/Charles_Krauthammer,1950,2018,June 21,American political commentator
Deanna Lund,/wiki/Deanna_Lund,1937,2018,June 22,American actress
Geoffrey Oryema,/wiki/Geoffrey_Oryema,1953,2018,June 22,Ugandan musician
Vinnie Paul,/wiki/Vinnie_Paul,1964,2018,June 22,American drummer
Alberto Fouilloux,/wiki/Alberto_Fouilloux,1940,2018,June 23,Chilean footballer
Prime Minister of South Korea,/wiki/Prime_Minister_of_South_Korea,1926,2018,Kim Jong-pil,9th Prime Minister of South Korea
Stanley Anderson,/wiki/Stanley_Anderson,1939,2018,June 24,American actor
Richard Benjamin Harrison,/wiki/Richard_Benjamin_Harrison,1941,2018,June 25,American businessman and television personality
President of Haiti,/wiki/President_of_Haiti,1932,2018,Henri Namphy,35th President of Haiti
Ed Simons,/wiki/Ed_Simons_(conductor),1917,2018,June 26,American musician
Joe Jackson,/wiki/Joe_Jackson_(manager),1928,2018,June 27,American talent manager
Steven Hilliard Stern,/wiki/Steven_Hilliard_Stern,1937,2018,June 27,"Canadian director, writer, and producer"
Harlan Ellison,/wiki/Harlan_Ellison,1934,2018,June 28,American writer
Christine Nöstlinger,/wiki/Christine_N%C3%B6stlinger,1936,2018,June 28,Austrian writer
Nobel Prize,/wiki/Nobel_Prize,1923,2018,Arvid Carlsson,Swedish neuropharmacologist and Nobel Prize laureate
Steve Ditko,/wiki/Steve_Ditko,1927,2018,June 29,American comic-book writer and artist
Irena Szewińska,/wiki/Irena_Szewi%C5%84ska,1946,2018,June 29,Polish Olympic sprinter
Gillian Lynne,/wiki/Gillian_Lynne,1926,2018,July 1,British dancer and choreographer
Henry Butler,/wiki/Henry_Butler,1948,2018,July 2,American jazz pianist and photographer
Antonio Halili,/wiki/Antonio_Halili,1946,2018,July 2,Filipino politician
Bill Watrous,/wiki/Bill_Watrous,1939,2018,July 2,American jazz trombonist
Thérèse Kleindienst,/wiki/Th%C3%A9r%C3%A8se_Kleindienst,1916,2018,July 3,French librarian
Richard Swift,/wiki/Richard_Swift_(singer-songwriter),1977,2018,July 3,"American singer, songwriter, multi-instrumentalist, producer, and film maker"
Georges-Emmanuel Clancier,/wiki/Georges-Emmanuel_Clancier,1914,2018,July 4,French poet and novelist
Henri Dirickx,/wiki/Henri_Dirickx,1927,2018,July 4,Belgian footballer
Robby Müller,/wiki/Robby_M%C3%BCller,1940,2018,July 4,Dutch cinematographer
Claude Lanzmann,/wiki/Claude_Lanzmann,1925,2018,July 5,French filmmaker
Ed Schultz,/wiki/Ed_Schultz,1954,2018,July 5,American political commentator and television host
Jean-Louis Tauran,/wiki/Jean-Louis_Tauran,1943,2018,July 5,French cardinal
Shoko Asahara,/wiki/Shoko_Asahara,1955,2018,July 6,Japanese cult leader and terrorist
Vlatko Ilievski,/wiki/Vlatko_Ilievski,1985,2018,July 6,Macedonian singer and actor
Tyler Honeycutt,/wiki/Tyler_Honeycutt,1990,2018,July 7,American basketball player
Tab Hunter,/wiki/Tab_Hunter,1931,2018,July 8,American actor and singer
Frank Ramsey,/wiki/Frank_Ramsey_(basketball),1931,2018,July 8,American basketball player
Secretary General of NATO,/wiki/Secretary_General_of_NATO,1919,2018,"Peter Carington, 6th Baron Carrington","6th Baron Carrington, former Secretary General of NATO"
Hans Günter Winkler,/wiki/Hans_G%C3%BCnter_Winkler,1926,2018,July 9,German show jumping rider
Henry Morgenthau III,/wiki/Henry_Morgenthau_III,1917,2018,July 10,American author and television producer
Mien Schopman-Klaver,/wiki/Mien_Schopman-Klaver,1911,2018,July 10,Dutch Olympic athlete
Lindy Remigino,/wiki/Lindy_Remigino,1931,2018,July 11,American Olympic athlete
Roger Perry,/wiki/Roger_Perry,1933,2018,July 12,American actor
Robert Wolders,/wiki/Robert_Wolders,1936,2018,July 12,Dutch actor
Claude Seignolle,/wiki/Claude_Seignolle,1917,2018,July 13,French author
Thorvald Stoltenberg,/wiki/Thorvald_Stoltenberg,1931,2018,July 13,Norwegian politician
July 14,/wiki/July_14,1938,2018,Millennium,2nd Prime Minister of Namibia
Ray Emery,/wiki/Ray_Emery,1982,2018,July 15,Canadian ice hockey player
Dragutin Šurbek,/wiki/Dragutin_%C5%A0urbek,1946,2018,July 15,Croatian table tennis player
Gabriel Caruana,/wiki/Gabriel_Caruana,1929,2018,July 16,Maltese artist
Yvonne Blake,/wiki/Yvonne_Blake,1940,2018,July 17,British-Spanish costume designer
Anne Olivier Bell,/wiki/Anne_Olivier_Bell,1916,2018,July 18,English literary editor and art scholar
1938,/wiki/1938,importance?,2018,Adrian Cronauer,American radio personality
John Banks Elliott,/wiki/John_Banks_Elliott,1917,2018,July 18,Ghanaian diplomat and statesman
Carlos Aldunate Lyon,/wiki/Carlos_Aldunate_Lyon,1916,2018,July 18,"Chilean Jesuit priest, teacher, and writer"
Burton Richter,/wiki/Burton_Richter,1931,2018,July 18,American Nobel physicist
Shinobu Hashimoto,/wiki/Shinobu_Hashimoto,1918,2018,July 19,Japanese screenwriter
Denis Ten,/wiki/Denis_Ten,1993,2018,July 19,Kazakh figure skater
Meg Randall,/wiki/Meg_Randall,1926,2018,July 20,American actress
Jonathan Gold,/wiki/Jonathan_Gold,1960,2018,July 21,American food and music critic
Frank Havens,/wiki/Frank_Havens_(canoeist),1924,2018,July 22,French sprint canoeist
Paul Madeley,/wiki/Paul_Madeley,1944,2018,July 23,English footballer
Oksana Shachko,/wiki/Oksana_Shachko,1987,2018,July 23,Ukrainian feminist
Mary Ellis,/wiki/Mary_Ellis_(pilot),1917,2018,July 24,British ferry pilot
Jack P. Lewis,/wiki/Jack_P._Lewis,1919,2018,July 24,American Biblical scholar
Sergio Marchionne,/wiki/Sergio_Marchionne,1952,2018,July 25,Italian-Canadian automotive executive
Ellie Soutter,/wiki/Ellie_Soutter,2000,2018,July 25,British snowboarder
Simegnew Bekele,/wiki/Simegnew_Bekele,1964,2018,July 26,Ethiopian engineer and public administrator
Adem Demaçi,/wiki/Adem_Dema%C3%A7i,1936,2018,July 26,Kosovo-Albanian political activist
Robert Martin,/wiki/Robert_Martin_(aviator),1919,2018,July 26,American fighter pilot
Vladimir Voinovich,/wiki/Vladimir_Voinovich,1932,2018,July 27,Russian writer
Brian Christopher,/wiki/Brian_Christopher,1972,2018,July 29,American professional wrestler
Oliver Dragojević,/wiki/Oliver_Dragojevi%C4%87,1947,2018,July 29,Croatian singer
Vibeke Skofterud,/wiki/Vibeke_Skofterud,1980,2018,July 29,Norwegian cross-country skier
Tomasz Stańko,/wiki/Tomasz_Sta%C5%84ko,1942,2018,July 29,Polish trumpeter and composer
Nikolai Volkoff,/wiki/Nikolai_Volkoff,1947,2018,July 29,Croatian professional wrestler
July 30,/wiki/July_30,importance?,2018,Millennium,American politician
Mary Carlisle,/wiki/Mary_Carlisle,1914,2018,August 1,American actress
Rick Genest,/wiki/Rick_Genest,1985,2018,August 1,Canadian fashion model and artist
Fakir Musafar,/wiki/Fakir_Musafar,1930,2018,August 1,American performance artist
Bob Berry,/wiki/Bob_Berry_(dendrologist),1916,2018,August 2,New Zealand dendrologist
Winston Ntshona,/wiki/Winston_Ntshona,1941,2018,August 2,South African playwright and actor
Moshé Mizrahi,/wiki/Mosh%C3%A9_Mizrahi,1931,2018,August 3,Israeli film director
Lorrie Collins,/wiki/Lorrie_Collins,1942,2018,August 4,American country singer
Charlotte Rae,/wiki/Charlotte_Rae,1926,2018,August 5,American actress and singer
Piotr Szulkin,/wiki/Piotr_Szulkin,1950,2018,August 5,Polish film director and writer
Patricia Benoit,/wiki/Patricia_Benoit,1927,2018,August 6,American actress
Paul Laxalt,/wiki/Paul_Laxalt,1922,2018,August 6,American politician
Joël Robuchon,/wiki/Jo%C3%ABl_Robuchon,1945,2018,August 6,French chef and restaurateur
1932,/wiki/1932,importance?,2018,Jimmy il Fenomeno,Italian actor
M. Karunanidhi,/wiki/M._Karunanidhi,1924,2018,August 7,Indian politician
Stan Mikita,/wiki/Stan_Mikita,1940,2018,August 7,Slovak-born Canadian ice hockey player
Nicholas Bett,/wiki/Nicholas_Bett,1990,2018,August 8,Kenyan track and field athlete
Pál Fábry,/wiki/P%C3%A1l_F%C3%A1bry,1919,2018,August 8,Hungarian-American politician
László Fábián,/wiki/L%C3%A1szl%C3%B3_F%C3%A1bi%C3%A1n_(canoeist),1936,2018,August 10,Hungarian sprint canoeist
Terry A. Davis,/wiki/Terry_A._Davis,1969,2018,August 11,American computer programmer
V. S. Naipaul,/wiki/V._S._Naipaul,1932,2018,August 11,Trinidadian-British Nobel writer
Samir Amin,/wiki/Samir_Amin,1931,2018,August 12,Egyptian-French Marxian economist
John Carter,/wiki/John_Carter_(film_editor),1922,2018,August 13,American film editor
Somnath Chatterjee,/wiki/Somnath_Chatterjee,1929,2018,August 13,Indian politician
Unshō Ishizuka,/wiki/Unsh%C5%8D_Ishizuka,1951,2018,August 13,Japanese voice actor
Jim Neidhart,/wiki/Jim_Neidhart,1955,2018,August 13,American professional wrestler
Eduard Uspensky,/wiki/Eduard_Uspensky,1937,2018,August 14,Russian author and screenwriter
August 15,/wiki/August_15,1945,2018,Millennium,Italian anti-Mafia activist and politician
Aretha Franklin,/wiki/Aretha_Franklin,1942,2018,August 16,American singer-songwriter
Kim Yong-chun,/wiki/Kim_Yong-chun,1936,2018,August 16,North Korean military officer and politician
Yelena Shushunova,/wiki/Yelena_Shushunova,1969,2018,August 16,Russian gymnast
Prime Minister of India,/wiki/Prime_Minister_of_India,1924,2018,Atal Bihari Vajpayee,10th Prime Minister of India
Ezzatolah Entezami,/wiki/Ezzatolah_Entezami,1924,2018,August 17,Iranian actor
August 18,/wiki/August_18,1938,2018,Millennium,"Ghanaian diplomat, 7th United Nations Secretary-General and Nobel laureate"
Uri Avnery,/wiki/Uri_Avnery,1923,2018,August 20,Israeli peace activist and politician
Jimmy McIlroy,/wiki/Jimmy_McIlroy,1931,2018,August 20,Northern Irish footballer
Brian Murray,/wiki/Brian_Murray_(actor),1937,2018,August 20,South African actor and director
Eddie Willis,/wiki/Eddie_Willis,1936,2018,August 20,American musician
Barbara Harris,/wiki/Barbara_Harris_(actress),1935,2018,August 21,American actress and singer
Hanna Mina,/wiki/Hanna_Mina,1924,2018,August 21,Syrian novelist
Stefán Karl Stefánsson,/wiki/Stef%C3%A1n_Karl_Stef%C3%A1nsson,1975,2018,August 21,Icelandic actor and singer
Ed King,/wiki/Ed_King,1949,2018,August 22,American musician
Kuldip Nayar,/wiki/Kuldip_Nayar,1923,2018,August 23,Indian journalist and politician
George Walker,/wiki/George_Walker_(composer),1922,2018,August 23,American composer
Robin Leach,/wiki/Robin_Leach,1941,2018,August 24,English television personality
Ciril Zlobec,/wiki/Ciril_Zlobec,1925,2018,August 24,"Slovene poet, writer, and politician"
John McCain,/wiki/John_McCain,1936,2018,August 25,American politician
Rosa Bouglione,/wiki/Rosa_Bouglione,1910,2018,August 26,French circus performer
Neil Simon,/wiki/Neil_Simon,1927,2018,August 26,American playwright
Murray Westgate,/wiki/Murray_Westgate,1918,2018,August 27,Canadian actor
Olive Evelyn Boar,/wiki/Olive_Evelyn_Boar,1904,2018,August 28,British supercentenarian
James Mirrlees,/wiki/James_Mirrlees,1936,2018,August 29,Scottish Nobel economist
Joseph Kobzon,/wiki/Joseph_Kobzon,1937,2018,August 30,Soviet and Russian singer
Vanessa Marquez,/wiki/Vanessa_Marquez_(actress),1968,2018,August 30,American actress
Ray,/wiki/Ray_(wrestler),1982,2018,August 30,Hong Kong professional wrestler
Marie Severin,/wiki/Marie_Severin,1929,2018,August 30,American comics artist and colorist
Susan Brown,/wiki/Susan_Brown_(American_actress),1932,2018,August 31,American actress
Luigi Luca Cavalli-Sforza,/wiki/Luigi_Luca_Cavalli-Sforza,1922,2018,August 31,Italian population geneticist
Gloria Jean,/wiki/Gloria_Jean,1926,2018,August 31,American actress and singer
Carole Shelley,/wiki/Carole_Shelley,1939,2018,August 31,American actress
Alexander Zakharchenko,/wiki/Alexander_Zakharchenko,1976,2018,August 31,Ukrainian separatist rebel
Randy Weston,/wiki/Randy_Weston,1926,2018,September 1,American musician
Conway Savage,/wiki/Conway_Savage,1960,2018,September 2,Australian pianist
Lydia Clarke,/wiki/Lydia_Clarke,1923,2018,September 3,American actress and photographer
Jalaluddin Haqqani,/wiki/Jalaluddin_Haqqani,1939,2018,September 3,Afghan Haqqani insurgent
Jacqueline Pearce,/wiki/Jacqueline_Pearce,1943,2018,September 3,British actress
Bill Daily,/wiki/Bill_Daily,1927,2018,September 4,American actor
Christopher Lawford,/wiki/Christopher_Lawford,1955,2018,September 4,American actor
Arthur Lawrence Hellyer Jr.,/wiki/Arthur_Lawrence_Hellyer_Jr.,1923,2018,September 5,American radio and television broadcaster
